	-	-	-	-	-	-
تهران	Location	1	1	Entity	NO	
چند	-	-	-	-	-	-
موتوري	-	-	-	-	-	-
دارد	-	-	-	-	-	-
؟	-	-	-	-	-	-
سرهنگ	Person(*	2(*	2(*	Entity(*	NO(*	(*
مراد	*	*	*	*	*	*
مرادي	Person*)	2*)	2*)	Entity*)	NO*)	*)
در	-	-	-	-	-	-
حاشيه	-	-	-	-	-	-
همايش	-	-	-	-	-	-
و	-	-	-	-	-	-
رژه	-	-	-	-	-	-
موتورسيکلت	-	-	-	-	-	-
سواران	-	-	-	-	-	-
قانون	-	-	-	-	-	-
مدار	-	-	-	-	-	-
که	-	-	-	-	-	-
صبح	-	-	-	-	-	-
امروز	-	-	-	-	-	-
از	-	-	-	-	-	-
استاديوم	Location(*	3(*	3(*	Entity(*	NO(*	(*
تختي	Location*)	3*)	3*)	Entity*)	NO*)	*)
تا	-	-	-	-	-	-
مقر	-	-	-	-	-	-
مرکزي	-	-	-	-	-	-
پليس	Organization(*	4(*	4(*	Entity(*	NO(*	(*
راهور	*	*	*	*	*	*
پايتخت	Organization*)	4*)	4*)	Entity*)	NO*)	*)
برگزار	-	-	-	-	-	-
شد	-	-	-	-	-	-
،	-	-	-	-	-	-
به	-	-	-	-	-	-
ايسنا	Organization	5	5	Entity	NO	
گفت	-	-	-	-	-	-
:	-	-	-	-	-	-
امروز	-	-	-	-	-	-
از	-	-	-	-	-	-
150	-(*	6(*	6(*	Other(*	NO(*	(*
راکب	*	*	*	*	*	*
نمونه	*	*	*	*	*	*
موتور	*	*	*	*	*	*
سيکلت	-*)	6*)	6*)	Other*)	NO*)	*)
که	-	-	-	-	-	-
در	-	-	-	-	-	-
طول	-	-	-	-	-	-
سال	-	-	-	-	-	-
94	-	-	-	-	-	-
فاقد	-	-	-	-	-	-
هرگونه	-	-	-	-	-	-
تخلف	-	-	-	-	-	-
و	-	-	-	-	-	-
تصادف	-	-	-	-	-	-
بودند	-	-	-	-	-	
،	-	-	-	-	-	-
توسط	-	-	-	-	-	-
سردار	Person(*	8(*	8(*	Entity(*	NO(*	(*
حسيني	*	*	*	*	*	*
رئيس	*	*	*	*	*	*
پليس	*	*	*	*	*	*
راهور	*	*	*	*	*	*
پايتخت	-*)	9*)	8*)	Other*)	NO*)	*)
قدرداني	-	-	-	-	-	-
شد	-	-	-	-	-	-
.	-	-	-	-	-	-

وي	-	10	2	PRO	NO	
با	-	-	-	-	-	-
بيان	-	-	-	-	-	-
اينکه	-	-	-	-	-	-
اين	-(*	11(*	6(*	Other(*	NO(*	(*
موتورسيکلت	*	*	*	*	*	*
سواران	-*)	11*)	6*)	Other*)	NO*)	*)
در	-	-	-	-	-	-
واحدهاي	-	-	-	-	-	-
انتظامي	-	-	-	-	-	-
و	-	-	-	-	-	-
خدماتي	-	-	-	-	-	-
همچون	-	-	-	-	-	-
اورژانس	Organization(*	12(*	12(*	Entity(*	NO(*	(*
آتش	*	*	*	*	*	*
نشاني	Organization*)	12*)	12*)	Entity*)	NO*)	*)
،	-	-	-	-	-	-
اتحاديه	Organization(*	13(*	13(*	Entity(*	NO(*	(*
پيک	*	*	*	*	*	*
هاي	*	*	*	*	*	*
موتوري	Organization*)	13*)	13*)	Entity*)	NO*)	*)
،	-	-	-	-	-	-
فدراسيون	Organization(*	14(*	14(*	Entity(*	NO(*	(*
موتورسواري	Organization*)	14*)	14*)	Entity*)	NO*)	*)
و	-	-	-	-	-	-
پليس	Organization	15	15	Entity	NO	
فعاليت	-	-	-	-	-	-
داشتند	-	-	-	-	-	
،	-	-	-	-	-	-
افزود	-	-	-	-	-	-
:	-	-	-	-	-	-
در	-	-	-	-	-	-
رژه	-	-	-	-	-	-
نمادين	-	-	-	-	-	-
که	-	-	-	-	-	-
توسط	-	-	-	-	-	-
اين	-(*	17(*	6(*	Other(*	NO(*	(*
موتورسيکلت	*	*	*	*	*	*
سواران	-*)	17*)	6*)	Other*)	NO*)	*)
برگزار	-	-	-	-	-	-
شد	-	-	-	-	-	-
،	-	-	-	-	-	-
آنان	-	18	6	Other	NO	
صبح	-	-	-	-	-	-
امروز	-	-	-	-	-	-
از	-	-	-	-	-	-
استاديوم	Location(*	19(*	3(*	Entity(*	NO(*	(*
تختي	Location*)	19*)	3*)	Entity*)	NO*)	*)
تا	-	-	-	-	-	-
مقر	-	-	-	-	-	-
مرکزي	-	-	-	-	-	-
پليس	Organization(*	20(*	4(*	Entity(*	NO(*	(*
راهور	Organization*)	20*)	4*)	Entity*)	NO*)	*)
با	-	-	-	-	-	-
موتور	-	-	-	-	-	-
سيکلت	-	-	-	-	-	-
هاي	-	-	-	-	-	-
شان	-	21	6	PRO	NO	
حرکت	-	-	-	-	-	-
کردند	-	-	-	-	-	
.	-	-	-	-	-	-

معاون	-(*	23(*	2(*	Other(*	NO(*	(*
آموزش	*	*	*	*	*	*
و	*	*	*	*	*	*
فرهنگ	*	*	*	*	*	*
ترافيک	*	*	*	*	*	*
پليس	*	*	*	*	*	*
راهور	*	*	*	*	*	*
پايتخت	-*)	23*)	2*)	Other*)	NO*)	*)
،	-	-	-	-	-	-
افزود	-	-	-	-	-	-
:	-	-	-	-	-	-
در	-	-	-	-	-	-
پايان	-	-	-	-	-	-
اين	-	-	-	-	-	-
همايش	-	-	-	-	-	-
با	-	-	-	-	-	-
اهداي	-	-	-	-	-	-
لوح	-	-	-	-	-	-
تقدير	-	-	-	-	-	-
،	-	-	-	-	-	-
هديه	-	-	-	-	-	-
و	-	-	-	-	-	-
کلاه	-	-	-	-	-	-
ايمني	-	-	-	-	-	-
از	-	-	-	-	-	-
اين	-(*	24(*	6(*	Other(*	NO(*	(*
موتورسيکلت	*	*	*	*	*	*
سواران	-*)	24*)	6*)	Other*)	NO*)	*)
تقدير	-	-	-	-	-	-
شد	-	-	-	-	-	-
.	-	-	-	-	-	-

سهم	-	-	-	-	-	-
30	-	-	-	-	-	-
درصدي	-	-	-	-	-	-
موتورسواران	-	-	-	-	-	-
در	-	-	-	-	-	-
تلفات	-	-	-	-	-	-
رانندگي	-	-	-	-	-	-
مرادي	Person	25	2	Entity	NO	
با	-	-	-	-	-	-
