	-	-	-	-	-	-
مجلس	Organization	1	1	Entity	NO	
ترکيب	-	-	-	-	-	-
اعضاي	-	-	-	-	-	-
شوراي	Organization(*	2(*	2(*	Entity(*	NO(*	(*
پول	*	*	*	*	*	*
و	*	*	*	*	*	*
اعتبار	Organization*)	2*)	2*)	Entity*)	NO*)	*)
را	-	-	-	-	-	-
اصلاح	-	-	-	-	-	-
کرد	-	-	-	-	-	-
مجلس	Organization(*	3(*	1(*	Entity(*	NO(*	(*
شوراي	*	*	*	*	*	*
اسلامي	Organization*)	3*)	1*)	Entity*)	NO*)	*)
در	-	-	-	-	-	-
جريان	-	-	-	-	-	-
رسيدگي	-	-	-	-	-	-
به	-	-	-	-	-	-
لايحه	-	-	-	-	-	-
تنظيم	-	-	-	-	-	-
برخي	-	-	-	-	-	-
از	-	-	-	-	-	-
احکام	-	-	-	-	-	-
برنامه	-	-	-	-	-	-
هاي	-	-	-	-	-	-
توسعه	-	-	-	-	-	-
کشور	-	-	-	-	-	-
،	-	-	-	-	-	-
ترکيب	-	-	-	-	-	-
اعضاي	-	-	-	-	-	-
شوراي	Organization(*	4(*	2(*	Entity(*	NO(*	(*
پول	*	*	*	*	*	*
و	*	*	*	*	*	*
اعتبار	Organization*)	4*)	2*)	Entity*)	NO*)	*)
را	-	-	-	-	-	-
اصلاح	-	-	-	-	-	-
کرد	-	-	-	-	-	-
.	-	-	-	-	-	-

به	-	-	-	-	-	-
گزارش	-	-	-	-	-	-
خبرنگار	-	-	-	-	-	-
پارلماني	-	-	-	-	-	-
ايسنا	Organization	5	5	Entity	NO	
،	-	-	-	-	-	-
ترکيب	-	-	-	-	-	-
اعضاي	Organization(*	6(*	2(*	Entity(*	NO(*	(*
شوراي	*	*	*	*	*	*
پول	*	*	*	*	*	*
و	*	*	*	*	*	*
اعتبار	Organization*)	6*)	2*)	Entity*)	NO*)	*)
به	-	-	-	-	-	-
شرح	-	-	-	-	-	-
زير	-	-	-	-	-	-
اصلاح	-	-	-	-	-	-
شد	-	-	-	-	-	-
:	-	-	-	-	-	-
الف	-	-	-	-	-	-
-	-	-	-	-	-	-
وزير	-(*	7(*	7(*	Other(*	YES(*	(*
امور	*	*	*	*	*	*
اقتصادي	*	*	*	*	*	*
و	*	*	*	*	*	*
دارايي	-*)	7*)	7*)	Other*)	YES*)	*)
يا	-	-	-	-	-	-
معاون	-	-	-	-	-	-
وي	-	8	7	PRO	YES	
ب	-	-	-	-	-	-
-	-	-	-	-	-	-
رئيس	-	-	-	-	-	-
کل	-	-	-	-	-	-
بانک	Organization(*	9(*	9(*	Entity(*	NO(*	(*
مرکزي	*	*	*	*	*	*
جمهوري	*	*	*	*	*	*
اسلامي	*	*	*	*	*	*
ايران	Organization*)	9*)	9*)	Entity*)	NO*)	*)
پ	-	-	-	-	-	-
-	-	-	-	-	-	-
قائم	-	-	-	-	-	-
مقام	-	-	-	-	-	-
يا	-	-	-	-	-	-
يکي	-	-	-	-	-	-
از	-	-	-	-	-	-
معاونان	-	-	-	-	-	-
بانک	Organization(*	10(*	10(*	Entity(*	NO(*	(*
مرکزي	Organization*)	10*)	10*)	Entity*)	NO*)	*)
با	-	-	-	-	-	-
معرفي	-	-	-	-	-	-
رئيس	-	-	-	-	-	-
کل	-	-	-	-	-	-
ت	-	-	-	-	-	-
-	-	-	-	-	-	-
رئيس	-(*	11(*	11(*	Other(*	YES(*	(*
سازمان	*	*	*	*	*	*
مديريت	*	*	*	*	*	*
و	*	*	*	*	*	*
برنامه	*	*	*	*	*	*
ريزي	*	*	*	*	*	*
کشور	-*)	11*)	11*)	Other*)	YES*)	*)
يا	-	-	-	-	-	-
معاون	-	-	-	-	-	-
وي	-	12	11	PRO	YES	
ث	-	-	-	-	-	-
-	-	-	-	-	-	-
وزير	-	-	-	-	-	-
صنعت	-	-	-	-	-	-
،	-	-	-	-	-	-
معدن	-	-	-	-	-	-
و	-	-	-	-	-	-
تجارت	-	-	-	-	-	-
ج	-	-	-	-	-	-
-	-	-	-	-	-	-
دو	-	-	-	-	-	-
نفر	-	-	-	-	-	-
از	-	-	-	-	-	-
وزرا	-	-	-	-	-	-
به	-	-	-	-	-	-
انتخاب	-	-	-	-	-	-
هيات	Organization(*	13(*	13(*	Entity(*	NO(*	(*
وزيران	Organization*)	13*)	13*)	Entity*)	NO*)	*)
چ	-	-	-	-	-	-
-	-	-	-	-	-	-
رئيس	-	-	-	-	-	-
هيات	Organization(*	14(*	14(*	Entity(*	NO(*	(*
عامل	*	*	*	*	*	*
صندوق	*	*	*	*	*	*
توسعه	*	*	*	*	*	*
ملي	Organization*)	14*)	14*)	Entity*)	NO*)	*)
ح	-	-	-	-	-	-
-	-	-	-	-	-	-
دو	-(*	15(*	15(*	Other(*	YES(*	(*
نفر	*	*	*	*	*	*
کارشناس	*	*	*	*	*	*
خبره	-*)	15*)	15*)	Other*)	YES*)	*)
و	-	-	-	-	-	-
متخصص	-	-	-	-	-	-
در	-	-	-	-	-	-
حوزه	-	-	-	-	-	-
هاي	-	-	-	-	-	-
اقتصادي	-	-	-	-	-	-
،	-	-	-	-	-	-
پولي	-	-	-	-	-	-
،	-	-	-	-	-	-
بانکي	-	-	-	-	-	-
با	-	-	-	-	-	-
15	-	-	-	-	-	-
سال	-	-	-	-	-	-
سابقه	-	-	-	-	-	-
ي	-	-	-	-	-	-
فعاليت	-	-	-	-	-	-
علمي	-	-	-	-	-	-
و	-	-	-	-	-	-
اجرايي	-	-	-	-	-	-
در	-	-	-	-	-	-
زمينه	-	-	-	-	-	-
پولي	-	-	-	-	-	-
و	-	-	-	-	-	-
بانکي	-	-	-	-	-	-
به	-	-	-	-	-	-
پيشنهاد	-	-	-	-	-	-
رئيس	-	-	-	-	-	-
کل	-	-	-	-	-	-
بانک	Organization(*	16(*	9(*	Entity(*	NO(*	(*
مرکزي	*	*	*	*	*	*
جمهوري	*	*	*	*	*	*
اسلامي	*	*	*	*	*	*
ايران	Organization*)	16*)	9*)	Entity*)	NO*)	*)
و	-	-	-	-	-	-
تاييد	-	-	-	-	-	-
رئيس	-	-	-	-	-	-
جمهور	-	-	-	-	-	-
به	-	-	-	-	-	-
مدت	-	-	-	-	-	-
دو	-	-	-	-	-	-
سال	-	-	-	-	-	-
که	-	-	-	-	-	-
انتخاب	-	-	-	-	-	-
مجدد	-	-	-	-	-	-
آنها	-	17	15	PRO	YES	
بلامانع	-	-	-	-	-	-
است	-	-	-	-	-	-
.	-	-	-	-	-	-

خ	-	-	-	-	-	-
-	-	-	-	-	-	-
يک	-	-	-	-	-	-
نفر	-	-	-	-	-	-
مجتهد	-	-	-	-	-	-
آشنا	-	-	-	-	-	-
به	-	-	-	-	-	-
مسائل	-	-	-	-	-	-
مالي	-	-	-	-	-	-
و	-	-	-	-	-	-
پولي	-	-	-	-	-	-
با	-	-	-	-	-	-
معرفي	-	-	-	-	-	-
شوراي	Organization(*	18(*	18(*	Entity(*	NO(*	(*
عالي	*	*	*	*	*	*
حوزه	*	*	*	*	*	*
هاي	*	*	*	*	*	*
علميه	Organization*)	18*)	18*)	Entity*)	NO*)	*)
،	-	-	-	-	-	-
د	-	-	-	-	-	-
-	-	-	-	-	-	-
دادستان	-(*	19(*	19(*	Other(*	YES(*	(*
کل	*	*	*	*	*	*
کشور	-*)	19*)	19*)	Other*)	YES*)	*)
يا	-	-	-	-	-	-
معاون	-	-	-	-	-	-
وي	-	20	19	PRO	YES	
ذ	-	-	-	-	-	-
-	-	-	-	-	-	-
رئيس	-	-	-	-	-	-
اتاق	Organization(*	21(*	21(*	Entity(*	NO(*	(*
بازرگاني	*	*	*	*	*	*
،	*	*	*	*	*	*
صنايع	*	*	*	*	*	*
و	*	*	*	*	*	*
معادن	*	*	*	*	*	*
و	*	*	*	*	*	*
کشاورزي	*	*	*	*	*	*
ايران	Organization*)	21*)	21*)	Entity*)	NO*)	*)
ر	-	-	-	-	-	-
-	-	-	-	-	-	-
رئيس	-	-	-	-	-	-
اتاق	Organization(*	22(*	22(*	Entity(*	NO(*	(*
تعاون	*	*	*	*	*	*
جمهوري	*	*	*	*	*	*
اسلامي	*	*	*	*	*	*
ايران	Organization*)	22*)	22*)	Entity*)	NO*)	*)
ز	-	-	-	-	-	-
-	-	-	-	-	-	-
نمايندگان	-	-	-	-	-	-
کميسيون	-	-	-	-	-	-
هاي	-	-	-	-	-	-
اقتصادي	-	-	-	-	-	-
و	-	-	-	-	-	-
برنامه	-	-	-	-	-	-
و	-	-	-	-	-	-
بودجه	-	-	-	-	-	-
و	-	-	-	-	-	-
محاسبات	-	-	-	-	-	-
مجلس	Organization(*	23(*	23(*	Entity(*	NO(*	(*
شوراي	*	*	*	*	*	*
اسلامي	Organization*)	23*)	23*)	Entity*)	NO*)	*)
هر	-	-	-	-	-	-
کدام	-	-	-	-	-	-
يک	-	-	-	-	-	-
نفر	-	-	-	-	-	-
به	-	-	-	-	-	-
عنوان	-	-	-	-	-	-
ناظر	-	-	-	-	-	-
با	-	-	-	-	-	-
انتخاب	-	-	-	-	-	-
مجلس	-	-	-	-	-	-
بر	-	-	-	-	-	-
اساس	-	-	-	-	-	-
اين	-	-	-	-	-	-
گزارش	-	-	-	-	-	-
در	-	-	-	-	-	-
تبصره	-	-	-	-	-	-
ذيل	-	-	-	-	-	-
اين	-	-	-	-	-	-
ماده	-	-	-	-	-	-
که	-	-	-	-	-	-
رياست	-	-	-	-	-	-
شورا	-	-	-	-	-	-
بر	-	-	-	-	-	-
عهده	-	-	-	-	-	-
رئيس	-	-	-	-	-	-
کل	-	-	-	-	-	-
بانک	Organization(*	24(*	9(*	Entity(*	NO(*	(*
مرکزي	*	*	*	*	*	*
جمهوري	*	*	*	*	*	*
اسلامي	*	*	*	*	*	*
ايران	Organization*)	24*)	9*)	Entity*)	NO*)	*)
است	-	-	-	-	-	-
.	-	-	-	-	-	-

انتهاي	-	-	-	-	-	-
پيام	-	-	-	-	-	-
